Question,Golden
"In the context of geology, what is suspension?",Suspension is the state of particles that are mixed in a substance but not dissolved. In the context of 
What is a borehole?,Borehole a deep hole that has a small diameter. Drilling of artificial boreholes is one of the tecniques used to preserve thermal water.
What is a coastline?,"Coastline is a line that separates land from a body of water, e.g., sea, ocean, or lake. "
What is foliation?,Foliation in geology refers to repetitive layering in metamorphic rocks. It pertains to the structural or textural characteristics of a rock.
What is a microfossil?,"Microfossil refers to a small remains of animals or plants preserved in rock and sediments. Microfossils typically measure less than a millimetre, therefore requiring micropalaeontologists to use microscopes to study the organisms to determine their morphology and characteristics. Occurring most frequently in material from marine deposits, microfossils have also been found in both fresh and brackish water, and sedimentary deposits on land. The majority are organic microfossils, followed by pollen and spores from vascular plants."
What is a magma chamber?,"Magma chamber is a reservoir of magma close to the top layer of lithosphere, from which volcanic materials are obtained.  "
What is micropalaeontology?,"Micropalaeontology is the study of small, microscopic remains of animals and plants. Micropalaeontology explores microfossils, which typically measure less than a millimetre, to determine their morphology and characteristics. "
What are eukaryotic organisms?,The term eukaryotic organisms pertains to complex protoplasmic life-forms with a vesicular nucleus and various cytoplasmic organelles. 
What is lithosphere?,"Lithosphere refers to an outer rigid layer or the Earth which consists of the crust and the uppermost part of the mantle. Lithosphere mostly consists of peridotite (a very dense rock containing high levels of the mineral olivine), basalt and granite – all igneous rocks. Granite and basalt generally form the crust, while the top of the upper part of the mantle is largely peridotite."
What is a sedimentary rock?,"Sedimentary rock a type of rock formed by accumulation and cementation of transported sediments by means of water, wind, glacier, or gravity. "
What is seismology?,"Seismology is a science studying earthquakes and the structure of the Earth, by using both natural and artificially created seismic waves. Seismology not only allows the prediction of earthquake hazards, and the damage they may cause, but has also led to a greater understanding of the composition of the Earth. "
What is seafloor?,"Seafloor is a land at the bottom of the oceanseabed, sea floor"
What is permeability?,"Permeability is a quality of being able to let liquid or gas pass throughporousness, penetrability, receptiveness. It is one of two basic necessary characteristics of reservoir rock, whereby the second is porosity."
What is a rift?,Rift refers to a narrow opening in the groundcrack.
What is a slope?,"Slope is a naturally or artificially elevated surface, usually referring to a side of a hill or mountainslant. Slope has a significant effect on soil formation. "
"In the context of geology, what is a depression?",Depression an area that is lower than the surrounding environmentpit.
What is a streak (or smear) of a mineral?,"Streak or a smear is a trace that a mineral leaves on a surface. A mineral’s streak is obtained by rubbing a sample against a streak plate, usually an unglazed porcelain tile While the colour of a mineral may vary, as demonstrated above, the colour of a streak, or smear, usually does not, making this a much more reliable diagnostic property than simple observation.
"
How are sedimentary rocks formed?,"Sedimentary rock is formed from fragments (clasts) of pre-existing rocks, material resulting from weathering processes, precipitated material and organic material, and tends to be laid down in beds of sediment."
How does water change throughout the hydrological cycle?,"The hydrological cycle of the earth is the sum total of all processes in which water moves from the land and ocean surface to the atmosphere and back in form of precipitation. The hydrological cycle the representation of a continuous, circular movement of water through the atmosphere, where the physical state of water alters as it flows through the cycle."
